url,ipv4
mx3.zoho.com.,204.141.43.44
ALT4.ASPMX.L.GOOGLE.COM.,209.85.202.26
ALT3.ASPMX.L.GOOGLE.COM.,64.233.186.26
ALT1.ASPMX.L.GOOGLE.COM.,108.177.12.27
ALT2.ASPMX.L.GOOGLE.COM.,172.253.62.27
ASPMX.L.GOOGLE.COM.,142.251.177.26
d270992b.ess.barracudanetworks.com.,209.222.82.252
d270992b.ess.barracudanetworks.com.,209.222.82.255
d270992b.ess.barracudanetworks.com.,209.222.82.253
d270992a.ess.barracudanetworks.com.,209.222.82.255
d270992a.ess.barracudanetworks.com.,209.222.82.252
d270992a.ess.barracudanetworks.com.,209.222.82.253
mx2-us1.ppe-hosted.com.,148.163.129.51
mx2-us1.ppe-hosted.com.,67.231.154.163
mx1-us1.ppe-hosted.com.,67.231.154.162
mx1-us1.ppe-hosted.com.,148.163.129.50
us-smtp-inbound-2.mimecast.com.,207.211.30.242
us-smtp-inbound-2.mimecast.com.,205.139.110.221
us-smtp-inbound-2.mimecast.com.,207.211.30.221
us-smtp-inbound-2.mimecast.com.,205.139.110.141
us-smtp-inbound-2.mimecast.com.,207.211.30.141
us-smtp-inbound-2.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,207.211.30.141
us-smtp-inbound-1.mimecast.com.,205.139.110.221
us-smtp-inbound-1.mimecast.com.,207.211.30.221
us-smtp-inbound-1.mimecast.com.,205.139.110.141
us-smtp-inbound-1.mimecast.com.,207.211.30.242
d306397a.ess.barracudanetworks.com.,209.222.82.255
d306397a.ess.barracudanetworks.com.,209.222.82.252
d306397a.ess.barracudanetworks.com.,209.222.82.253
americanfork-gov.mail.protection.outlook.com.,52.101.9.14
americanfork-gov.mail.protection.outlook.com.,52.101.11.2
americanfork-gov.mail.protection.outlook.com.,52.101.10.5
americanfork-gov.mail.protection.outlook.com.,52.101.8.32
americanfork-gov.mail.protection.outlook.com.,52.101.11.3
americanfork-gov.mail.protection.outlook.com.,52.101.40.1
americanfork-gov.mail.protection.outlook.com.,52.101.40.4
d148570b.ess.barracudanetworks.com.,209.222.82.253
d148570b.ess.barracudanetworks.com.,209.222.82.252
d148570b.ess.barracudanetworks.com.,209.222.82.255
d148570a.ess.barracudanetworks.com.,209.222.82.252
d148570a.ess.barracudanetworks.com.,209.222.82.253
d148570a.ess.barracudanetworks.com.,209.222.82.255
amerywi-gov.mail.protection.outlook.com.,52.101.41.0
amerywi-gov.mail.protection.outlook.com.,52.101.194.3
amerywi-gov.mail.protection.outlook.com.,52.101.8.34
amerywi-gov.mail.protection.outlook.com.,52.101.8.46
amerywi-gov.mail.protection.outlook.com.,52.101.42.9
amerywi-gov.mail.protection.outlook.com.,52.101.40.4
amerywi-gov.mail.protection.outlook.com.,52.101.42.6
amesburyma-gov.mail.protection.outlook.com.,52.101.9.19
amesburyma-gov.mail.protection.outlook.com.,52.101.11.12
amesburyma-gov.mail.protection.outlook.com.,52.101.8.50
amesburyma-gov.mail.protection.outlook.com.,52.101.8.52
mail.global.frontbridge.com.,104.47.43.36
amherstma-gov.mail.protection.outlook.com.,52.101.41.3
amherstma-gov.mail.protection.outlook.com.,52.101.8.44
amherstma-gov.mail.protection.outlook.com.,52.101.42.6
amherstma-gov.mail.protection.outlook.com.,52.101.194.3
amherstma-gov.mail.protection.outlook.com.,52.101.42.10
amherstma-gov.mail.protection.outlook.com.,52.101.42.4
amherstma-gov.mail.protection.outlook.com.,52.101.11.2
amherstnh-gov.mail.protection.outlook.com.,52.101.8.50
amherstnh-gov.mail.protection.outlook.com.,52.101.9.19
amherstnh-gov.mail.protection.outlook.com.,52.101.8.52
amherstnh-gov.mail.protection.outlook.com.,52.101.11.12
amherstva-gov.mail.protection.outlook.com.,104.47.55.138
amherstva-gov.mail.protection.outlook.com.,104.47.66.10
amityvillepdny-gov.mail.protection.outlook.com.,52.101.9.19
amityvillepdny-gov.mail.protection.outlook.com.,52.101.8.52
amityvillepdny-gov.mail.protection.outlook.com.,52.101.11.12
amityvillepdny-gov.mail.protection.outlook.com.,52.101.8.50
amsterdamny-gov.mx1.arsmtp.com.,8.31.233.92
amsterdamny-gov.mx2.arsmtp.com.,8.19.118.181
mxa-0000f701.gslb.pphosted.com.,67.231.144.17
mxb-0000f701.gslb.pphosted.com.,67.231.144.17
d189157b.ess.barracudanetworks.com.,209.222.82.252
d189157b.ess.barracudanetworks.com.,209.222.82.253
d189157b.ess.barracudanetworks.com.,209.222.82.255
d189157a.ess.barracudanetworks.com.,209.222.82.252
d189157a.ess.barracudanetworks.com.,209.222.82.253
d189157a.ess.barracudanetworks.com.,209.222.82.255
aspmx.l.google.com.,142.251.177.26
aspmx3.googlemail.com.,172.253.62.27
alt2.aspmx.l.google.com.,172.253.62.27
alt1.aspmx.l.google.com.,108.177.12.27
aspmx2.googlemail.com.,108.177.12.26
usb-smtp-inbound-2.mimecast.com.,170.10.152.242
usb-smtp-inbound-2.mimecast.com.,170.10.150.242
usb-smtp-inbound-1.mimecast.com.,170.10.152.242
usb-smtp-inbound-1.mimecast.com.,170.10.150.242
d120888b.ess.barracudanetworks.com.,209.222.82.252
d120888b.ess.barracudanetworks.com.,209.222.82.255
d120888b.ess.barracudanetworks.com.,209.222.82.253
d120888a.ess.barracudanetworks.com.,209.222.82.253
d120888a.ess.barracudanetworks.com.,209.222.82.252
d120888a.ess.barracudanetworks.com.,209.222.82.255
andovernh-gov01i.mail.protection.outlook.com.,52.101.40.4
andovernh-gov01i.mail.protection.outlook.com.,52.101.8.42
andovernh-gov01i.mail.protection.outlook.com.,52.101.10.8
andovernh-gov01i.mail.protection.outlook.com.,52.101.9.14
andovernh-gov01i.mail.protection.outlook.com.,52.101.9.11
andovernh-gov01i.mail.protection.outlook.com.,52.101.9.12
andovernh-gov01i.mail.protection.outlook.com.,52.101.42.6
andrewsnc-gov.mail.protection.outlook.com.,52.101.40.0
andrewsnc-gov.mail.protection.outlook.com.,52.101.41.3
andrewsnc-gov.mail.protection.outlook.com.,52.101.8.36
andrewsnc-gov.mail.protection.outlook.com.,52.101.11.9
andrewsnc-gov.mail.protection.outlook.com.,52.101.194.0
andrewsnc-gov.mail.protection.outlook.com.,52.101.194.4
andrewsnc-gov.mail.protection.outlook.com.,52.101.40.2
mx1-us.emailsecurity.app.,52.179.17.190
mx2-us.emailsecurity.app.,52.179.17.190
d277736b.ess.barracudanetworks.com.,209.222.82.253
d277736b.ess.barracudanetworks.com.,209.222.82.255
d277736b.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.255
d277736a.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.253
