url,exchange,preference,class,type
antiochtownshipil.gov,east.smtp.mx.exch091.serverdata.net.,20.0,IN,MX
antrimcountymi.gov,d316893b.ess.barracudanetworks.com.,20.0,IN,MX
antrimnh.gov,,,,
aoa.gov,smtp.ees.hhs.gov.,20.0,IN,MX
aoc.gov,mx03.aoc.gov.,5.0,IN,MX
apachecountyaz.gov,,,,
apachejunctionaz.gov,mx2-us1.ppe-hosted.com.,10.0,IN,MX
apcdca.gov,,,,
apexnc.gov,,,,
appletonmn.gov,smtp1-msp.securence.com.,0.0,IN,MX
appletonwi.gov,d293026b.ess.barracudanetworks.com.,20.0,IN,MX
applevalleyca.gov,d225007b.ess.barracudanetworks.com.,1.0,IN,MX
applevalleymn.gov,mailf2.applevalleymn.gov.,30.0,IN,MX
applevalleyut.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
appomattoxcountyva.gov,,,,
appomattoxva.gov,,,,
apprenticeship.gov,sil-mta-dmz-01-pub.dol.gov.,50.0,IN,MX
aptx.gov,alt1.aspmx.l.google.com.,20.0,IN,MX
aqmd.gov,mxa-007ef401.gslb.pphosted.com.,10.0,IN,MX
aquinnah-ma.gov,fallbackmx.spamexperts.eu.,20.0,IN,MX
ar.gov,mail1.dis.arkansas.gov.,10.0,IN,MX
aransascountytx.gov,omail.aransascounty.org.,10.0,IN,MX
aransaspasstx.gov,alt1.aspmx.l.google.com.,20.0,IN,MX
arapahoeco.gov,,,,
arc.gov,,,,
arcadami.gov,,,,
arcadia-fl.gov,mx1-us1.ppe-hosted.com.,0.0,IN,MX
arcadiaca.gov,d166201b.ess.barracudanetworks.com.,5.0,IN,MX
archbaldboroughpa.gov,cuda2.crossvalley.com.,20.0,IN,MX
archdale-nc.gov,,,,
archerlodgenc.gov,,,,
archives.gov,,,,
arcoidaho.gov,,,,
arcolapdtx.gov,,,,
arcolatexas.gov,,,,
arcourts.gov,,,,
arcourts1st.gov,,,,
arcourts6th.gov,,,,
arctic.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
arcticvillage.gov,ALT2.ASPMX.L.GOOGLE.COM.,5.0,IN,MX
ardmoreok.gov,,,,
ardot.gov,mx2.hc5209-46.iphmx.com.,15.0,IN,MX
arenaccountymi.gov,,,,
arizona.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
arkadelphia.gov,,,,
arkansas.gov,,,,
arkansasag.gov,,,,
arkansascityks.gov,,,,
arklegaudit.gov,,,,
arlingtoncountyva.gov,,,,
arlingtonma.gov,d241978b.ess.barracudanetworks.com.,10.0,IN,MX
arlingtonmn.gov,,,,
arlingtonne.gov,,,,
arlingtontx.gov,mxa-003aba01.gslb.pphosted.com.,10.0,IN,MX
arlingtonva.gov,,,,
arlingtonwa.gov,d138933b.ess.barracudanetworks.com.,0.0,IN,MX
arm.gov,mxa-00689501.gslb.gpphosted.com.,10.0,IN,MX
arpa-h.gov,nihcesxway3.hub.nih.gov.,10.0,IN,MX
arpah.gov,nihcesxwayst05.hub.nih.gov.,10.0,IN,MX
ars-grin.gov,,,,
artesianm.gov,,,,
arthur-il.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
artreasury.gov,d126328b.ess.barracudanetworks.com.,20.0,IN,MX
artrs.gov,fmx10.artrs.gov.,15.0,IN,MX
arts.gov,,,,
arvadafireco.gov,,,,
as.gov,ALT2.ASPMX.L.GOOGLE.COM.,5.0,IN,MX
asc.gov,,,,
ascensionparishla.gov,d284414b.ess.barracudanetworks.com.,100.0,IN,MX
aselectionoffice.gov,,,,
ashburnham-ma.gov,,,,
ashbyma.gov,,,,
asheboronc.gov,,,,
ashevillenc.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
ashgrovemo.gov,,,,
ashlandcitytn.gov,,,,
ashlandcountywi.gov,d296494b.ess.barracudanetworks.com.,11.0,IN,MX
ashlandky.gov,,,,
ashlandva.gov,,,,
ashtabulacountyprosecutoroh.gov,,,,
ashtonid.gov,,,,
ashvilleohio.gov,,,,
ashwaubenon.gov,,,,
asianpacificheritage.gov,pps2.loc.gov.,5.0,IN,MX
aspen.gov,,,,
aspr.gov,,,,
assumptionla.gov,,,,
assumptionoep-la.gov,,,,
assyriatwpmi.gov,,,,
atchisonkspolice.gov,,,,
atf.gov,mx-dc2.usdoj.gov.,10.0,IN,MX
athelstanewiclerk.gov,,,,
athensil.gov,,,,
athenstn.gov,mail.athenstn.gov.,10.0,IN,MX
athenstx.gov,,,,
athensvillageny.gov,,,,
athensvt.gov,,,,
atkinson-nh.gov,atkinson-nh-gov.mx2-na.mailanyone.net.,20.0,IN,MX
atlantaga.gov,mxb-003fa601.gslb.pphosted.com.,0.0,IN,MX
atlanticcountynj.gov,route1.mx.cloudflare.net.,31.0,IN,MX
atlantisfl.gov,d198042b.ess.barracudanetworks.com.,20.0,IN,MX
atlasalabama.gov,mailstore1.secureserver.net.,20.0,IN,MX
attawauganfirect.gov,aspmx2.migadu.com.,20.0,IN,MX
attica-in.gov,,,,
attorneygeneral.gov,cust59467-2.in.mailcontrol.com.,20.0,IN,MX
atwatermn.gov,d282772b.ess.barracudanetworks.com.,20.0,IN,MX
aubreytx.gov,,,,
auburnmaine.gov,,,,
auburnmi.gov,,,,
auburnny.gov,d294744b.ess.barracudanetworks.com.,15.0,IN,MX
auburnwa.gov,us-smtp-inbound-2.mimecast.com.,10.0,IN,MX
auduboncountyia.gov,,,,
auglaizecounty-ohio.gov,,,,
augustacounty-va.gov,,,,
augustacountyva.gov,,,,
augustaga.gov,,,,
augustaky.gov,,,,
augustamaine.gov,,,,
augustinetribe-nsn.gov,,,,
aultcolorado.gov,,,,
auroramo.gov,,,,
auroratexas.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
ausabletwp-mi.gov,,,,
austellga.gov,,,,
austin.gov,,,,
austintexas.gov,,,,
austintx.gov,,,,
averycountync.gov,,,,
avon-ma.gov,,,,
avonct.gov,mx1-us1.ppe-hosted.com.,15.0,IN,MX
avondaleaz.gov,mxb-00722001.gslb.pphosted.com.,10.0,IN,MX
avondaleestatesga.gov,,,,
avonindiana.gov,avonindiana-gov.mx2.arsmtp.com.,20.0,IN,MX
avss-nd.gov,avss-nd.gov.2.0001.arsmtp.com.,10.0,IN,MX
az-fhsd.gov,,,,
az.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
az511.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
az529.gov,mail.az529.gov.,0.0,IN,MX
azaccountancy.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azadc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azag.gov,,,,
azahcccs.gov,ALT1.ASPMX.L.GOOGLE.COM.,5.0,IN,MX
azarts.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azasrs.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azauditor.gov,,,,
azbn.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azboc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azboxingandmma.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azbtr.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azcapitolmuseum.gov,,,,
azcc.gov,mail.global.frontbridge.com.,30.0,IN,MX
azcjc.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azcleanelections.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azcorrections.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azcourts.gov,,,,
azda.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azdc.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azdcs.gov,,,,
azdema.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
azdeq.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdes.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
azdfi.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
