url,,url,exchange,preference,class,type
americorpsoig.gov,10459,americorpsoig.gov,americorpsoig-gov.mail.protection.outlook.com.,0,IN,MX
americusga.gov,114,americusga.gov,d148570a.ess.barracudanetworks.com.,10,IN,MX
amerywi.gov,115,amerywi.gov,amerywi-gov.mail.protection.outlook.com.,0,IN,MX
amesburyma.gov,116,amesburyma.gov,amesburyma-gov.mail.protection.outlook.com.,1,IN,MX
ameslab.gov,10569,ameslab.gov,aspmx.l.google.com.,1,IN,MX
amherstma.gov,118,amherstma.gov,amherstma-gov.mail.protection.outlook.com.,10,IN,MX
amherstnh.gov,119,amherstnh.gov,amherstnh-gov.mail.protection.outlook.com.,0,IN,MX
amherstva.gov,120,amherstva.gov,amherstva-gov.mail.protection.outlook.com.,0,IN,MX
amitecountyms.gov,7939,amitecountyms.gov,mx-01.eapps.com.,10,IN,MX
amityvillepdny.gov,121,amityvillepdny.gov,amityvillepdny-gov.mail.protection.outlook.com.,0,IN,MX
amsterdamny.gov,122,amsterdamny.gov,amsterdamny-gov.mx1.arsmtp.com.,10,IN,MX
amtrakoig.gov,10428,amtrakoig.gov,amtrakoig-gov.mail.protection.outlook.com.,0,IN,MX
anacorteswa.gov,7877,anacorteswa.gov,d317506a.ess.barracudanetworks.com.,10,IN,MX
anchorageak.gov,124,anchorageak.gov,mxa-0000f701.gslb.pphosted.com.,10,IN,MX
andalusiaal.gov,127,andalusiaal.gov,d189157a.ess.barracudanetworks.com.,10,IN,MX
andersoncountysc.gov,7941,andersoncountysc.gov,andersoncountysc-gov.mail.protection.outlook.com.,0,IN,MX
andersoncountytn.gov,7942,andersoncountytn.gov,andersoncountytn-gov.mail.protection.outlook.com.,0,IN,MX
andersontownshipoh.gov,7943,andersontownshipoh.gov,andersontownshipoh-gov.mail.protection.outlook.com.,0,IN,MX
andersontx.gov,128,andersontx.gov,aspmx.l.google.com.,1,IN,MX
andover-nh.gov,137,andover-nh.gov,andovernh-gov01i.mail.protection.outlook.com.,0,IN,MX
andoverma.gov,133,andoverma.gov,usb-smtp-inbound-2.mimecast.com.,10,IN,MX
andovermn.gov,136,andovermn.gov,d120888a.ess.barracudanetworks.com.,10,IN,MX
andrewcountymo.gov,7944,andrewcountymo.gov,andrewcountymo-gov.mail.protection.outlook.com.,0,IN,MX
andrewsnc.gov,138,andrewsnc.gov,andrewsnc-gov.mail.protection.outlook.com.,0,IN,MX
androscoggincountyema.gov,7945,androscoggincountyema.gov,mail.androscoggincountyema.gov.,0,IN,MX
androscoggincountymaine.gov,7946,androscoggincountymaine.gov,androscoggincountymaine-gov.mail.protection.outlook.com.,0,IN,MX
angelfirenm.gov,139,angelfirenm.gov,mx1-us.emailsecurity.app.,10,IN,MX
angelscamp.gov,142,angelscamp.gov,d277736a.ess.barracudanetworks.com.,10,IN,MX
ankenyiowa.gov,144,ankenyiowa.gov,mx1-us1.ppe-hosted.com.,1,IN,MX
anl.gov,10573,anl.gov,mailgateway-bak.anl.gov.,10,IN,MX
annapolis.gov,145,annapolis.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
annatexas.gov,152,annatexas.gov,mx-cluster-usa01.hornetsecurity.com.,10,IN,MX
annettatx.gov,154,annettatx.gov,mx1.emailsrvr.com.,10,IN,MX
annistonal.gov,156,annistonal.gov,annistonal-gov.mail.protection.outlook.com.,0,IN,MX
anokacountymn.gov,7947,anokacountymn.gov,cust17072-1.in.mailcontrol.com.,10,IN,MX
ansoncountync.gov,7948,ansoncountync.gov,ansoncountync-gov.mail.protection.outlook.com.,0,IN,MX
antiochca.gov,163,antiochca.gov,d185714a.ess.barracudanetworks.com.,98,IN,MX
antiochcaboard.gov,158,antiochcaboard.gov,d222948a.ess.barracudanetworks.com.,10,IN,MX
antiochcacommission.gov,160,antiochcacommission.gov,d222947b.ess.barracudanetworks.com.,10,IN,MX
