queried,a_record
cloud6.spamtitan.com.,52.26.55.167
cloud6.spamtitan.com.,52.10.98.167
cloud5.spamtitan.com.,52.10.98.167
cloud5.spamtitan.com.,52.26.55.167
cloud5.spamtitan.com.,52.32.254.113
allenstownnh-gov.mail.protection.outlook.com.,104.47.66.10
allenstownnh-gov.mail.protection.outlook.com.,104.47.59.138
allentownpa-gov.mail.protection.outlook.com.,52.101.9.19
allentownpa-gov.mail.protection.outlook.com.,52.101.8.50
allentownpa-gov.mail.protection.outlook.com.,52.101.8.52
allentownpa-gov.mail.protection.outlook.com.,52.101.11.12
allianceoh-gov.mail.eo.outlook.com.,52.101.42.13
allianceoh-gov.mail.eo.outlook.com.,52.101.10.1
allianceoh-gov.mail.eo.outlook.com.,52.101.41.0
allianceoh-gov.mail.eo.outlook.com.,52.101.9.14
allianceoh-gov.mail.eo.outlook.com.,52.101.42.4
allianceoh-gov.mail.eo.outlook.com.,52.101.11.3
allianceoh-gov.mail.eo.outlook.com.,52.101.194.19
in-mig04.hes.trendmicro.com.,52.52.7.163
in-mig04.hes.trendmicro.com.,13.56.17.171
mx2-hosting.jellyfish.systems.,63.250.43.74
mx1-hosting.jellyfish.systems.,198.54.127.242
mx3-hosting.jellyfish.systems.,162.255.118.13
mail.almenatownship.gov.,50.87.145.214
alpinewy-gov.mail.protection.outlook.com.,52.101.9.0
alpinewy-gov.mail.protection.outlook.com.,104.47.66.10
alpinewy-gov.mail.protection.outlook.com.,104.47.55.138
alpinewy-gov.mail.protection.outlook.com.,52.101.8.44
mailstore1.secureserver.net.,216.69.141.82
mailstore1.secureserver.net.,68.178.213.244
mailstore1.secureserver.net.,68.178.213.243
alsteadnh-gov.mail.protection.outlook.com.,52.101.8.52
alsteadnh-gov.mail.protection.outlook.com.,52.101.11.12
alsteadnh-gov.mail.protection.outlook.com.,52.101.9.19
alsteadnh-gov.mail.protection.outlook.com.,52.101.8.50
d129127b.ess.barracudanetworks.com.,209.222.82.252
d129127b.ess.barracudanetworks.com.,209.222.82.255
d129127b.ess.barracudanetworks.com.,209.222.82.253
altavistava-gov.mail.protection.outlook.com.,52.101.11.3
altavistava-gov.mail.protection.outlook.com.,52.101.10.1
altavistava-gov.mail.protection.outlook.com.,52.101.42.4
altavistava-gov.mail.protection.outlook.com.,52.101.11.10
altavistava-gov.mail.protection.outlook.com.,52.101.8.44
altavistava-gov.mail.protection.outlook.com.,52.101.42.6
altavistava-gov.mail.protection.outlook.com.,52.101.9.14
d129127a.ess.barracudanetworks.com.,209.222.82.255
