queried,exchange,preference,class,type
applevalleyut.gov,alt1.aspmx.l.google.com.,5,IN,MX
applevalleyut.gov,alt2.aspmx.l.google.com.,5,IN,MX
applevalleyut.gov,alt4.aspmx.l.google.com.,10,IN,MX
appomattoxva.gov,appomattoxva-gov.mail.protection.outlook.com.,10,IN,MX
aptx.gov,aspmx.l.google.com.,10,IN,MX
aptx.gov,alt1.aspmx.l.google.com.,20,IN,MX
aptx.gov,alt2.aspmx.l.google.com.,20,IN,MX
aptx.gov,aspmx2.googlemail.com.,30,IN,MX
aptx.gov,aspmx3.googlemail.com.,30,IN,MX
aptx.gov,aspmx4.googlemail.com.,30,IN,MX
aptx.gov,aspmx5.googlemail.com.,30,IN,MX
aquinnah-ma.gov,lastmx.spamexperts.net.,30,IN,MX
aquinnah-ma.gov,fallbackmx.spamexperts.eu.,20,IN,MX
aquinnah-ma.gov,mx.spamexperts.com.,10,IN,MX
aransaspasstx.gov,aspmx2.googlemail.com.,30,IN,MX
aransaspasstx.gov,aspmx3.googlemail.com.,30,IN,MX
aransaspasstx.gov,aspmx4.googlemail.com.,30,IN,MX
aransaspasstx.gov,aspmx5.googlemail.com.,30,IN,MX
aransaspasstx.gov,aspmx.l.google.com.,10,IN,MX
aransaspasstx.gov,alt1.aspmx.l.google.com.,20,IN,MX
aransaspasstx.gov,alt2.aspmx.l.google.com.,20,IN,MX
arcadami.gov,arcadami.gov.,0,IN,MX
arcadiaca.gov,d166201b.ess.barracudanetworks.com.,5,IN,MX
arcadiaca.gov,d166201a.ess.barracudanetworks.com.,0,IN,MX
arcadia-fl.gov,mx2-us1.ppe-hosted.com.,0,IN,MX
arcadia-fl.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
archbaldboroughpa.gov,cuda2.crossvalley.com.,20,IN,MX
archbaldboroughpa.gov,cuda1.crossvalley.com.,10,IN,MX
archdale-nc.gov,archdalenc-gov02b.mail.protection.outlook.com.,0,IN,MX
archerlodgenc.gov,archerlodgenc-gov.mail.protection.outlook.com.,0,IN,MX
arcoidaho.gov,arcoidaho-gov.mail.protection.outlook.com.,0,IN,MX
arcolapdtx.gov,arcolapdtx-gov.mail.protection.outlook.com.,10,IN,MX
arcolatexas.gov,arcolatexas-gov.mail.protection.outlook.com.,0,IN,MX
ardmoreok.gov,ardmoreok-gov.mail.protection.outlook.com.,0,IN,MX
arkadelphia.gov,mail.cjissolutions.com.,0,IN,MX
arkansascityks.gov,arkansascityks-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonma.gov,d241978a.ess.barracudanetworks.com.,5,IN,MX
arlingtonma.gov,d241978b.ess.barracudanetworks.com.,10,IN,MX
arlingtonmn.gov,arlingtonmn-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonne.gov,arlingtonne-gov.mail.protection.outlook.com.,0,IN,MX
arlingtontx.gov,mxa-003aba01.gslb.pphosted.com.,10,IN,MX
arlingtontx.gov,mxb-003aba01.gslb.pphosted.com.,10,IN,MX
arlingtonwa.gov,d138933a.ess.barracudanetworks.com.,0,IN,MX
arlingtonwa.gov,d138933b.ess.barracudanetworks.com.,0,IN,MX
artesianm.gov,artesianm-gov.mail.protection.outlook.com.,10,IN,MX
arthur-il.gov,alt2.aspmx.l.google.com.,5,IN,MX
arthur-il.gov,aspmx.l.google.com.,1,IN,MX
arthur-il.gov,alt3.aspmx.l.google.com.,10,IN,MX
arthur-il.gov,alt4.aspmx.l.google.com.,10,IN,MX
arthur-il.gov,alt1.aspmx.l.google.com.,5,IN,MX
ashburnham-ma.gov,ashburnhamma-gov02e.mail.protection.outlook.com.,0,IN,MX
ashbyma.gov,ashbyma-gov.mail.protection.outlook.com.,0,IN,MX
asheboronc.gov,mail.asheboronc.gov.,10,IN,MX
ashevillenc.gov,alt4.aspmx.l.google.com.,10,IN,MX
ashevillenc.gov,alt1.aspmx.l.google.com.,5,IN,MX
ashevillenc.gov,alt2.aspmx.l.google.com.,5,IN,MX
ashevillenc.gov,aspmx.l.google.com.,1,IN,MX
ashevillenc.gov,alt3.aspmx.l.google.com.,10,IN,MX
ashgrovemo.gov,ashgrovemo-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcitytn.gov,ashlandcitytn-gov.mail.protection.outlook.com.,0,IN,MX
ashlandky.gov,ashlandky-gov.mail.protection.outlook.com.,0,IN,MX
ashlandva.gov,ashlandva-gov.mail.protection.outlook.com.,0,IN,MX
ashtonid.gov,ashtonid-gov.mail.protection.outlook.com.,0,IN,MX
ashvilleohio.gov,ashvilleohio-gov.mail.protection.outlook.com.,0,IN,MX
ashwaubenon.gov,ashwaubenon-gov.mail.protection.outlook.com.,0,IN,MX
aspen.gov,aspen-gov.mail.protection.outlook.com.,0,IN,MX
assyriatwpmi.gov,assyriatwpmi.gov.,0,IN,MX
atchisonkspolice.gov,atchisonkspolice-gov.mail.protection.outlook.com.,0,IN,MX
athelstanewiclerk.gov,athelstaneWIclerk-gov.mail.protection.outlook.com.,0,IN,MX
athensil.gov,spam-spi-il.agcomtech.com.,0,IN,MX
athenstn.gov,athenstn-gov.mail.protection.outlook.com.,0,IN,MX
athenstn.gov,mail.athenstn.gov.,10,IN,MX
athenstx.gov,athenstx-gov.mail.protection.outlook.com.,0,IN,MX
athensvillageny.gov,athensvillageny-gov.mail.protection.outlook.com.,0,IN,MX
athensvt.gov,athensvt-gov.mail.protection.outlook.com.,0,IN,MX
atkinson-nh.gov,atkinson-nh-gov.mx1-na.mailanyone.net.,10,IN,MX
atkinson-nh.gov,atkinson-nh-gov.mx3-na.mailanyone.net.,30,IN,MX
atkinson-nh.gov,atkinson-nh-gov.mx2-na.mailanyone.net.,20,IN,MX
atlantaga.gov,mxb-003fa601.gslb.pphosted.com.,0,IN,MX
atlantaga.gov,mxa-003fa601.gslb.pphosted.com.,0,IN,MX
atlantisfl.gov,d198042a.ess.barracudanetworks.com.,10,IN,MX
atlantisfl.gov,d198042b.ess.barracudanetworks.com.,20,IN,MX
attica-in.gov,atticain-gov01e.mail.protection.outlook.com.,0,IN,MX
atwatermn.gov,d282772b.ess.barracudanetworks.com.,20,IN,MX
atwatermn.gov,d282772a.ess.barracudanetworks.com.,10,IN,MX
aubreytx.gov,aubreytx-gov.mail.protection.outlook.com.,0,IN,MX
auburnmaine.gov,auburnmaine-gov.mail.protection.outlook.com.,10,IN,MX
auburnmi.gov,auburnmi.gov.,0,IN,MX
auburnny.gov,d294744b.ess.barracudanetworks.com.,15,IN,MX
auburnny.gov,d294744a.ess.barracudanetworks.com.,10,IN,MX
auburnwa.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
auburnwa.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
augustaga.gov,augustaga-gov.mail.protection.outlook.com.,10,IN,MX
augustaky.gov,mail.augustaky.gov.,0,IN,MX
augustamaine.gov,augustamaine-gov.mail.protection.outlook.com.,0,IN,MX
aultcolorado.gov,aultcolorado-gov.mail.protection.outlook.com.,0,IN,MX
auroramo.gov,AuroraMo-gov.mail.protection.outlook.com.,0,IN,MX
auroratexas.gov,alt4.aspmx.l.google.com.,10,IN,MX
auroratexas.gov,alt1.aspmx.l.google.com.,5,IN,MX
auroratexas.gov,alt2.aspmx.l.google.com.,5,IN,MX
auroratexas.gov,aspmx.l.google.com.,1,IN,MX
auroratexas.gov,alt3.aspmx.l.google.com.,10,IN,MX
ausabletwp-mi.gov,ausabletwp-mi.gov.,0,IN,MX
austellga.gov,austellga-gov.mail.protection.outlook.com.,0,IN,MX
austin.gov,.,0,IN,MX
austintexas.gov,austintexas-gov.mail.protection.outlook.com.,10,IN,MX
austintx.gov,.,0,IN,MX
avonct.gov,mx2-us1.ppe-hosted.com.,15,IN,MX
avonct.gov,mx1-us1.ppe-hosted.com.,15,IN,MX
avondaleaz.gov,mxa-00722001.gslb.pphosted.com.,10,IN,MX
avondaleaz.gov,mxb-00722001.gslb.pphosted.com.,10,IN,MX
avondaleestatesga.gov,avondaleestatesga-gov.mail.protection.outlook.com.,1,IN,MX
avonindiana.gov,avonindiana-gov.mx2.arsmtp.com.,20,IN,MX
avonindiana.gov,avonindiana-gov.mx1.arsmtp.com.,10,IN,MX
avon-ma.gov,avonma-gov01b.mail.protection.outlook.com.,0,IN,MX
az-fhsd.gov,azfhsd-gov0e.mail.protection.outlook.com.,0,IN,MX
aztecnm.gov,aztecnm-gov.mail.protection.outlook.com.,0,IN,MX
azusaca.gov,d220163b.ess.barracudanetworks.com.,20,IN,MX
azusaca.gov,d220163a.ess.barracudanetworks.com.,10,IN,MX
badenpa.gov,badenpa-gov.mail.protection.outlook.com.,0,IN,MX
bagleytownshipmi.gov,bagleytownshipmi.gov.,0,IN,MX
